|id|date|time|tweet|cleaned_text|Subjectivity|Polarity|Analysis_Polarity|Analysis_Subjectivity|label
0|1.55378E+18|31-07-2022|12.36.30|@sturdyAlex #Cov19 $3.7 trillion was lost by workers, $3.9 trillion made by billionaires, world cost of $15 trillion. War in #Ukraine costing $100+billion, failing US sanctions on Russia backfiring causing major inflation, economies around the world crumb|cov19 37 trillion lost worker 39 trillion made billionaire world cost 15 trillion war ukraine costing 100billion failing u sanction russia backfiring causing major inflation economy around world crumbling uk brexit|0.5|0.0625|Positive|Opinion|spam
14|1.55378E+18|31-07-2022|12.32.32|@joeneckbonehurt @DirtysGhost indeed 57 Republicans (or 26.7% of all Republicans in H. Rept.) in H. Rept. de-facto support Russia in the war with Ukraine  But decisions of Rep.majority will affect supply of weapons to Ukraine only starting from Spring 202|indeed 57 republican 267 republican h rept h rept defacto support russia war ukraine decision repmajority affect supply weapon ukraine starting spring 2023 hope moment ukraine receive|0.1|0|Neutral|Opinion|spam
122|1.55377E+18|31-07-2022|12.02.33|VIVIDESIGN Group -  Russia Has Radically Redefined The Term ‘Fake News’ During The Ukraine War  https://t.co/pMc6mfplhN  - Call 270-723-3650  https://t.co/i4Gdqh2iIr|vividesign group russia radically redefined term fake news ukraine war call 2707233650|1|-0.5|Negative|Opinion|spam
192|1.55377E+18|31-07-2022|11.44.25|Москва, якій 875 років, із піною біля рота доводить Києву, якому 1540років, що землі Київської Русі завжди були її.Спадщина батьків переходить дітям після їхньої смерті, а Київ як батько Київської Русі досі живий.Якись довбограї, чесно слово.#KievanRus #Ukraine #Russia #war #Kyiv  https://t.co/cwG39mB7xo|москва якій 875 років із піною біля рота доводить києву якому 1540років що землі київської русі завжди були їїспадщина батьків переходить дітям після їхньої смерті а київ як батько київської русі досі живийякись довбограї чесно словоkievanrus ukraine russia war kyiv|0|0|Neutral|Fact|spam
198|1.55377E+18|31-07-2022|11.42.36|Does everyone know why China 🇨🇳 war with Taiwan 🇹🇼? And Russia 🇷🇺 war with Ukraine 🇺🇦?  Because Obama stole my seat in 2012. Trump stole my seat in 2016. Biend stole Presidential seat in 2021 from President Prince Seng Heng.  If Biend gives seat back to me the war will the end.|everyone know china war taiwan russia war ukraine obama stole seat 2012 trump stole seat 2016 biend stole presidential seat 2021 president prince seng heng biend give seat back war end|0|0|Neutral|Fact|spam
216|1.55377E+18|31-07-2022|11.38.34|CTC: allowed to expire  KBJ: 1 seat, still a 6-3 fedsoc court  foreign alliances: robbing American people of billions for Russia-Ukraine war, woo|ctc allowed expire kbj 1 seat still 63 fedsoc court foreign alliance robbing american people billion russiaukraine war woo|0.0625|-0.0625|Negative|Opinion|spam
263|1.55376E+18|31-07-2022|11.24.49|@Magdale_Aguilar @1111iii__ @Eles26 @Qa_SMi @pramod_986 @01har35 @RKT018 @Cris_L_X @PskDilek @10k__gold @eroly01 @SiirSL_ @nehos0 @rio10314 @R3_Adv @Q_Afika1 @3nage @rass_aa @Sam2rat @Sami3464S @Mano1Ju @Trade092 @PRABUOOOO9 @AshrafShabana @hema_gedo76 @U|aguilar smi 986 lx gold adv afika1 aa gedo76 |0|0|Neutral|Fact|spam
296|1.55376E+18|31-07-2022|11.17.04|@mjean2 @POTUS45 We can have good relationships with anyone, but not allow World domination by others. USA has not started a war since 1898.  Russia promoted: Castros in Cuba, Ortega in Nicaragua, Chávez and Maduro in Venezuela, The corrupt Ukraine Gover|good relationship anyone allow world domination others usa started war since 1898 russia promoted castro cuba ortega nicaragua chávez maduro venezuela corrupt ukraine government 2014 good guy|0.733333333|0.3|Positive|Opinion|spam
299|1.55376E+18|31-07-2022|11.16.49|@LateStage_L2 @Lev_kick That’s objectively not true we have provided training and 2 billion in arms to Ukraine’s Civil War over 8 years. Russia invading was a HELL of an escalation don’t get me wrong… and obviously abhorrent… but we’ve been in|l2 kick objectively true provided training 2 billion arm ukraine civil war 8 year russia invading hell escalation get wrong obviously abhorrent involved conflict since 2014|0.783333333|-0.283333333|Negative|Opinion|spam
311|1.55376E+18|31-07-2022|11.13.27|Ukraine Armed Forces claim Russia lost 40,670 troops in the war, 170 in last 24 hours  https://t.co/HTToE7ph4j|ukraine armed force claim russia lost 40670 troop war 170 last 24 hour|0.066666667|0|Neutral|Opinion|spam
313|1.55376E+18|31-07-2022|11.13.01|@haroldmills @AsntSoldier @shadesisla @Onbekend1952 @War_Mapper Really? All 1,000,000 of them? Last i heard it was 30,000, nowhere near enough. For comparison, NATO trained 250,000 Ukrainians for over 8 years, and Russia is still crushing them. Best of lu|mapper really 1000000 last heard 30000 nowhere near enough parison nato trained 250000 ukrainian 8 year russia still crushing best luck ukraine gonna need|0.394444444|0.283333333|Positive|Opinion|spam
341|1.55376E+18|31-07-2022|11.06.03|Fuel prices rocketed when Russia invaded Ukraine and war broke out. There is still war in Ukraine.  Last week I was paying 199p per litre. Today 185p. Nowhere as cheap as the start of 2022. Care to comment or admit youre fucking ripping us off @bp_plc @Shell ?|fuel price rocketed russia invaded ukraine war broke still war ukraine last week paying 199p per litre today 185p nowhere cheap start 2022 care ment admit youre fucking ripping u plc |0.522222222|-0.066666667|Negative|Opinion|spam
400|1.55376E+18|31-07-2022|10.54.57|Russia-Ukraine war'22: Globalist = No Real God 29:09... A war game set to its the begining of the other expanded.  Parents, the best to children.  31:26... The Communist = None Fair Statement, But BLAME to Target!   https://t.co/aokSZW7IWS|russiaukraine war22 globalist real god 2909 war game set begining expanded parent best child 3126 communist none fair statement blame target|0.475|0.375|Positive|Opinion|spam
405|1.55376E+18|31-07-2022|10.53.07|"#Estimated #Ukrainian #War #losses #Day158 #July31 [me: Ukrainian #casualties 10k dead at day100 + 1k/week since =&gt; 18k dead =&gt; 54k+ wounded. Ukraine has lost maybe 7k more #PoW than #Russia.  So IMO Ukrainian #military #losses = 79k+ ""out of action""]  https://t.co/2crxKtGbRG"|estimated ukrainian war loss day158 july31 ukrainian casualty 10k dead day100 1kweek since gt 18k dead gt 54k wounded ukraine lost maybe 7k pow russia imo ukrainian military loss 79k action|0.25|-0.1|Negative|Opinion|spam
413|1.55375E+18|31-07-2022|10.50.31|The world has just ten weeks' worth of wheat left after the Ukraine war  Food supplies are being rocked by Russia's invasion of the 'breadbasket of Europe'   https://t.co/XrdHWcjg2N  https://t.co/o6v0SiBAPP 01 #SaveOurDemocracy|world ten week worth wheat left ukraine war food supply rocked russia invasion breadbasket europe 01 saveourdemocracy|0.033333333|0.1|Positive|Opinion|spam
